eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
81.79,-88.06833520999997,3846,0.0020754609408143673,0.016507339477539063,1.4007033005356788,-0.0012904734445328358,0.12229537456296384,-0.00043844301253557203,1,2048,17.0380815,65536
105.41,-108.57947358999998,3884,0.0014723348562687927,0.010624504089355469,1.3764873754233122,-0.0012104703328077449,0.03332592227961868,0.21028985157608987,2,4096,33.9100654,131072
101.75,-100.97458346000002,3868,0.0015378190588400498,0.011496162414550782,1.3487603947520257,-0.001283766109190765,0.03265993006643839,0.3750680945813656,3,6144,50.850863,196608
138.92,-125.94195097999996,3564,0.0015305859110105566,0.011363983154296875,1.3236110024154186,-0.0013166228471163776,0.031894967635162176,0.472844179905951,4,8192,69.23762260000001,262144
111.47,-96.68214916000001,3678,0.0015790138397299713,0.01220245361328125,1.3019240099936724,-0.0013702058626222425,0.0328261343005579,0.5899499766528606,5,10240,87.05453560000001,327680
70.08,-52.006354699999996,3784,0.0015565707799419797,0.01165771484375,1.2806287538260221,-0.0013894214269384974,0.03801332283765078,0.6490747681818902,6,12288,104.3747908,393216
81.9,-69.21279970000002,3886,0.0018155704926823735,0.014483070373535157,1.257794213667512,-0.0016140816631377674,0.03892949987202883,0.7083956987597049,7,14336,121.2370675,458752
108.45,-81.58834049000001,3883,0.001764382140454724,0.014083290100097656,1.2345938943326473,-0.001598986890166998,0.03939137813868001,0.7574530408717692,8,16384,138.11210540000002,524288
81.0,-57.73888438,3885,0.0018754297378281181,0.014925003051757812,1.2104069881141186,-0.0017250361146579963,0.04007345522986725,0.7771392530295997,9,18432,154.9803611,589824
92.46,-64.68801528,3873,0.0018399790303620309,0.01461181640625,1.1867526963353157,-0.0017422401215299033,0.040508503804448995,0.8001010064966977,10,20480,171.90122730000002,655360
55.97,-35.40507564000001,3868,0.0019046353092614394,0.015114593505859374,1.1624936982989311,-0.0017674397691735066,0.038913971022702755,0.8249307983089238,11,22528,188.8435815,720896
58.46,-32.69492125,3888,0.0020138243509316414,0.01628742218017578,1.1357133809477091,-0.0018591393774840981,0.039849920279812066,0.8336536316201091,12,24576,205.6978493,786432
80.36,-44.72766945999999,3890,0.0019538042919594787,0.01578044891357422,1.1110089477151632,-0.0018641373135324102,0.03475710764178075,0.8619351736735552,13,26624,222.5429154,851968
53.76,-24.721105789999996,3884,0.001976472446649725,0.01580810546875,1.0863562617450953,-0.0018042529096419456,0.03739141141995787,0.8470468775369226,14,28672,239.4147366,917504
51.74,-20.339719130000002,3884,0.002086484441653446,0.01673736572265625,1.0585022281855345,-0.00196653235834674,0.03072022449923679,0.8814007106004282,15,30720,256.28640199999995,983040
71.2,-26.491094609999994,3859,0.002378966429893965,0.020360755920410156,1.027857830747962,-0.0021478463138919325,0.02957954850862734,0.8865617803530768,16,32768,273.2658467,1048576
67.73,-22.079859749999997,3884,0.0021608084391733463,0.017992019653320312,0.9974545834586024,-0.00203932519434602,0.02897376932669431,0.8861097227083519,17,34816,290.136914,1114112
78.25,-21.10259926,3893,0.00223182532563169,0.019156837463378908,0.9686207989230752,-0.002076810190192191,0.025229241349734366,0.8948458244325593,18,36864,306.9712032,1179648
29.97,-0.21834114999999998,3877,0.0022207267114110556,0.01840801239013672,0.9390948474407196,-0.0020992037432733925,0.02648097533383407,0.8884962641401216,19,38912,323.87372999999997,1245184
77.23,-14.344295580000002,3883,0.002244595847047921,0.019057273864746094,0.9118011707440019,-0.002098295097312075,0.025219053257023914,0.8896868858952075,20,40960,340.7514349,1310720
42.28,1.2751499999999996,3891,0.002221631307859172,0.01887226104736328,0.8839269345626235,-0.0021612550728605127,0.025170629349304363,0.8820295677520334,21,43008,357.5932026,1376256
56.0,3.0723802900000017,3889,0.0023397454019295086,0.01967906951904297,0.854008038341999,-0.002206393435335485,0.022235393099253997,0.8882135357474908,22,45056,374.44541219999996,1441792
62.63,1.7297842199999984,3894,0.0022480970832874413,0.018295478820800782,0.8218010583892464,-0.0021509290436370065,0.022329433960840105,0.8772999779088423,23,47104,391.2740512,1507328
49.45,12.579794970000002,3884,0.0021946893359845216,0.018147087097167967,0.7911911631003022,-0.0021984167735354275,0.020672078733332454,0.8706958690891042,24,49152,408.1464198,1572864
45.66,14.79497341,3888,0.0022181207100042443,0.01845550537109375,0.7618563825264573,-0.0021958509230898928,0.020835041481768714,0.8600440808571875,25,51200,425.0018576,1638400
70.54,15.01069708,3892,0.0021063654909524543,0.017079925537109374,0.7340855197981,-0.002072165178924479,0.020840413169935346,0.8403903605882078,26,53248,441.8395991,1703936
64.73,12.859520419999999,3891,0.0021187481963324344,0.017270851135253906,0.7073619036003947,-0.002048410129646072,0.019971498008817434,0.8240173474885524,27,55296,458.68068239999997,1769472
65.12,23.937308820000002,3912,0.0023653405253474596,0.020223617553710938,0.6806109746918082,-0.002216466196114197,0.021779346524272113,0.8029219392221421,28,57344,475.4303983,1835008
117.54,25.368221570000006,3888,0.002171741814530539,0.018002128601074217,0.6542605353519321,-0.0021921703577390873,0.016588569933082907,0.817328221583739,29,59392,492.2834921,1900544
124.16,34.85031128,3876,0.002354460445663371,0.019883155822753906,0.6257627381011843,-0.002267892233794555,0.019641955965198576,0.7899301414843649,30,61440,509.19189190000003,1966080
